catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00543348,2,0.84,0.67,82.81,TRUE,data/masks/tier2_reflected/00543348_reflected_10.png,10,34.71,67.08,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8039,0.5376,-83.78,TRUE,data/masks/tier2_reflected/00543348_reflected_11.png,11,67.19,7.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,1,0.8919,0.8567,86.85,FALSE,data/masks/tier1_intact/00543348_leaf_12.png,12,16.03,23.02,TIER_1_INTACT_EXTRACTED
00543348,2,0.8039,0.7421,-71.29,TRUE,data/masks/tier2_reflected/00543348_reflected_13.png,13,17.46,25.71,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8161,0.7516,36.8,TRUE,data/masks/tier2_reflected/00543348_reflected_14.png,14,30.48,3.61,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,3,0.6095,0.5057,66.72,FALSE,data/masks/tier3_open_curves/00543348_curve_15.csv,15,10.0,10.44,TIER_3_OPEN_CURVE_EXTRACTED
00543348,2,0.7751,0.7508,86.16,TRUE,data/masks/tier2_reflected/00543348_reflected_16.png,16,48.0,5.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.7137,0.6057,62.43,TRUE,data/masks/tier2_reflected/00543348_reflected_17.png,17,2.24,30.02,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8063,0.4841,-88.87,TRUE,data/masks/tier2_reflected/00543348_reflected_18.png,18,33.24,27.29,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8243,0.7631,-63.96,TRUE,data/masks/tier2_reflected/00543348_reflected_19.png,19,37.2,4.24,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.6192,0.4147,-80.91,TRUE,data/masks/tier2_reflected/00543348_reflected_20.png,20,85.59,9.06,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8748,0.5968,-41.54,TRUE,data/masks/tier2_reflected/00543348_reflected_21.png,21,38.21,5.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.7619,0.6226,80.8,TRUE,data/masks/tier2_reflected/00543348_reflected_22.png,22,38.64,49.82,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8691,0.6185,89.93,TRUE,data/masks/tier2_reflected/00543348_reflected_23.png,23,68.07,7.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.6952,0.3812,-81.51,TRUE,data/masks/tier2_reflected/00543348_reflected_24.png,24,98.51,11.05,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.7574,0.6381,71.73,TRUE,data/masks/tier2_reflected/00543348_reflected_25.png,25,6.32,71.31,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.7679,0.5937,65.56,TRUE,data/masks/tier2_reflected/00543348_reflected_26.png,26,63.53,6.71,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.6625,0.6115,80.43,TRUE,data/masks/tier2_reflected/00543348_reflected_27.png,27,41.0,51.42,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,1,0.9235,0.7786,-85.25,FALSE,data/masks/tier1_intact/00543348_leaf_28.png,28,16.12,63.64,TIER_1_INTACT_EXTRACTED
00543348,3,0.9045,0.6491,87.57,FALSE,data/masks/tier3_open_curves/00543348_curve_29.csv,29,1.0,86.02,TIER_3_OPEN_CURVE_EXTRACTED
00543348,2,0.7881,0.5976,-84.94,TRUE,data/masks/tier2_reflected/00543348_reflected_30.png,30,60.41,7.07,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,3,0.6755,0.8075,73.15,FALSE,data/masks/tier3_open_curves/00543348_curve_31.csv,31,11.0,17.72,TIER_3_OPEN_CURVE_EXTRACTED
00543348,1,0.8702,0.8156,65.22,FALSE,data/masks/tier1_intact/00543348_leaf_32.png,32,7.62,31.02,TIER_1_INTACT_EXTRACTED
00543348,2,0.8802,0.598,-85.83,TRUE,data/masks/tier2_reflected/00543348_reflected_33.png,33,48.09,54.15,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,3,0.9085,0.7195,87.64,FALSE,data/masks/tier3_open_curves/00543348_curve_34.csv,34,5.0,55.01,TIER_3_OPEN_CURVE_EXTRACTED
00543348,2,0.7637,0.6389,-16.41,TRUE,data/masks/tier2_reflected/00543348_reflected_35.png,35,28.43,3.61,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.7888,0.6816,-84.59,TRUE,data/masks/tier2_reflected/00543348_reflected_36.png,36,4.0,79.51,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,1,0.9016,0.7524,76.28,FALSE,data/masks/tier1_intact/00543348_leaf_37.png,37,41.0,60.42,TIER_1_INTACT_EXTRACTED
00543348,2,0.706,0.7292,23.81,TRUE,data/masks/tier2_reflected/00543348_reflected_38.png,38,79.4,9.22,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8362,0.8865,61.64,TRUE,data/masks/tier2_reflected/00543348_reflected_39.png,39,65.46,7.21,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,3,0.8375,0.7192,-41.57,FALSE,data/masks/tier3_open_curves/00543348_curve_40.csv,40,11.0,76.84,TIER_3_OPEN_CURVE_EXTRACTED
00543348,2,0.8387,0.8133,30.45,TRUE,data/masks/tier2_reflected/00543348_reflected_41.png,41,8.49,38.18,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.9099,0.4169,-87.35,TRUE,data/masks/tier2_reflected/00543348_reflected_42.png,42,65.76,98.01,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8425,0.6663,61.74,TRUE,data/masks/tier2_reflected/00543348_reflected_43.png,43,35.81,3.61,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8609,0.7134,86.75,TRUE,data/masks/tier2_reflected/00543348_reflected_44.png,44,58.01,6.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8463,0.5589,-82.07,TRUE,data/masks/tier2_reflected/00543348_reflected_45.png,45,24.02,62.13,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.7704,0.763,-66.61,TRUE,data/masks/tier2_reflected/00543348_reflected_46.png,46,43.68,6.32,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8356,0.7349,82.93,TRUE,data/masks/tier2_reflected/00543348_reflected_47.png,47,9.06,56.22,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8908,0.7008,-82.55,TRUE,data/masks/tier2_reflected/00543348_reflected_48.png,48,70.09,8.25,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,3,0.6766,0.6521,44.84,FALSE,data/masks/tier3_open_curves/00543348_curve_49.csv,49,11.0,9.43,TIER_3_OPEN_CURVE_EXTRACTED
00543348,1,0.9327,0.7597,85.77,FALSE,data/masks/tier1_intact/00543348_leaf_50.png,50,46.1,69.18,TIER_1_INTACT_EXTRACTED
00543348,2,0.813,0.6458,-72.18,TRUE,data/masks/tier2_reflected/00543348_reflected_51.png,51,62.77,19.72,TIER_2_SYMMETRY_REFLECTED_UPPER
